query,start,end,day_count
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-11-14T00:00:00.000Z,2021-11-15T00:00:00.000Z,23642
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-11-15T00:00:00.000Z,2021-11-16T00:00:00.000Z,24692
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-11-16T00:00:00.000Z,2021-11-17T00:00:00.000Z,22434
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-11-17T00:00:00.000Z,2021-11-18T00:00:00.000Z,23077
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-17T00:00:00.000Z,2021-09-18T00:00:00.000Z,101056
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-18T00:00:00.000Z,2021-09-19T00:00:00.000Z,85080
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-19T00:00:00.000Z,2021-09-20T00:00:00.000Z,63095
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-20T00:00:00.000Z,2021-09-21T00:00:00.000Z,63517
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-21T00:00:00.000Z,2021-09-22T00:00:00.000Z,70637
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-22T00:00:00.000Z,2021-09-23T00:00:00.000Z,63020
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-23T00:00:00.000Z,2021-09-24T00:00:00.000Z,61528
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-24T00:00:00.000Z,2021-09-25T00:00:00.000Z,58546
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-25T00:00:00.000Z,2021-09-26T00:00:00.000Z,56753
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-26T00:00:00.000Z,2021-09-27T00:00:00.000Z,47106
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-27T00:00:00.000Z,2021-09-28T00:00:00.000Z,46453
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-28T00:00:00.000Z,2021-09-29T00:00:00.000Z,86165
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-29T00:00:00.000Z,2021-09-30T00:00:00.000Z,70394
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-09-30T00:00:00.000Z,2021-10-01T00:00:00.000Z,51179
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-01T00:00:00.000Z,2021-10-02T00:00:00.000Z,40708
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-02T00:00:00.000Z,2021-10-03T00:00:00.000Z,33841
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-03T00:00:00.000Z,2021-10-04T00:00:00.000Z,41525
